a c średnia_energia odchylenie_standardowe log10
0.48 0.06 -0.353831 0.0617575 -1.20885
0.48 0.08 -0.341705 0.060323 -1.24986
0.48 0.1 -0.338032 0.049069 -1.2278
0.48 0.12 -0.31781 0.0554433 -1.17141
0.48 0.14 -0.317267 0.0562918 -1.29521
0.48 0.16 -0.304273 0.0642152 -1.17508
0.48 0.18 -0.321415 0.0557731 -1.32928
0.48 0.2 -0.307105 0.0518792 -1.29998
0.48 0.22 -0.287769 0.0609127 -1.19112
0.48 0.24 -0.302116 0.0583374 -1.26421
0.48 0.26 -0.301375 0.0503618 -1.19474
0.48 0.28 -0.28391 0.0443497 -1.27499
0.5 -0.7 -0.136196 0.00442991 -2.16258
0.5 -0.68 -0.129 0.00355588 -1.49518
0.5 -0.66 -0.119027 0.0080764 -1.44153
0.5 -0.64 -0.0666817 0.0460365 -1.43875
0.5 -0.62 -0.102012 0.0145144 -1.81306
0.5 -0.6 -0.105012 0.00154594 -1.73596
0.5 -0.58 -0.11688 0.0136965 -2.09123
0.5 -0.56 -0.105623 0.00108837 -2.55871
0.5 -0.54 -0.0834114 0.00043109 -3.73056
0.5 -0.52 -0.110074 0.000419168 -3.67028
0.5 -0.5 -0.125 0 -19
0.5 -0.48 -0.143393 0.000645126 -3.34314
0.5 -0.46 -0.126773 0.00380313 -2.47915
0.5 -0.44 -0.151128 0.00353728 -2.11781
0.5 -0.42 -0.140853 0.0125313 -1.91109
0.5 -0.4 -0.149556 0.0103081 -1.78418
0.5 -0.38 -0.365978 0.0265372 -1.62802
0.5 -0.36 -0.10601 0.0304719 -1.60211
0.5 -0.34 -0.317837 0.0334561 -1.4623
